Sample accession,Run accession,Sample Name,Dilution number,Post-processing read count
ERS534915,ERR588920,CAMBIO_1,0 (original culture),224694
ERS534916,ERR588921,CAMBIO_2,1,98017
ERS534917,ERR588922,CAMBIO_3,2,210
ERS534918,ERR588923,CAMBIO_4,3,79
ERS534919,ERR588924,CAMBIO_5,4,9
ERS534920,ERR588925,CAMBIO_6,5,17
ERS534925,ERR588930,MP_BIO_1,0 (original culture),247020
ERS534926,ERR588931,MP_BIO_2,1,576405
ERS534927,ERR588932,MP_BIO_3,2,541918
ERS534928,ERR588933,MP_BIO_4,3,17674
ERS534929,ERR588934,MP_BIO_5,4,36721
ERS534930,ERR588935,MP_BIO_6,5,7212
ERS534935,ERR588940,QIAGEN_1,0 (original culture),249329
ERS534936,ERR588941,QIAGEN_2,1,93446
ERS534937,ERR588942,QIAGEN_3,2,20553
ERS534938,ERR588943,QIAGEN_4,3,8605
ERS534939,ERR588944,QIAGEN_5,4,12327
ERS534940,ERR588945,QIAGEN_6,5,8109
ERS534945,ERR588950,PSP_PLUS_1,0 (original culture),1548
ERS534946,ERR588951,PSP_PLUS_2,1,12863
ERS534947,ERR588952,PSP_PLUS_3,2,7764
ERS534948,ERR588953,PSP_PLUS_4,3,21415
ERS534949,ERR588954,Water,Negative,310